Epoch [1/100] | Loss_D: -11.8177 | Loss_G: 1.6458 | GP: 0.2461 | Time: 1391.7s
Epoch [2/100] | Loss_D: -14.7500 | Loss_G: 0.4679 | GP: 0.3387 | Time: 1226.3s
Epoch [3/100] | Loss_D: -15.4504 | Loss_G: -1.9531 | GP: 0.3587 | Time: 1146.9s
Epoch [4/100] | Loss_D: -16.2061 | Loss_G: -4.3818 | GP: 0.3824 | Time: 1172.7s
Epoch [5/100] | Loss_D: -16.4287 | Loss_G: -6.7243 | GP: 0.3864 | Time: 1009.6s
Epoch [6/100] | Loss_D: -16.6056 | Loss_G: -7.9324 | GP: 0.3916 | Time: 1221.1s
Epoch [7/100] | Loss_D: -16.7574 | Loss_G: -9.4844 | GP: 0.3925 | Time: 1103.7s
Epoch [8/100] | Loss_D: -16.7848 | Loss_G: -11.4061 | GP: 0.3925 | Time: 857.0s
Epoch [9/100] | Loss_D: -17.0482 | Loss_G: -12.8299 | GP: 0.4065 | Time: 847.8s
Epoch [10/100] | Loss_D: -16.8871 | Loss_G: -13.4693 | GP: 0.4001 | Time: 853.5s
Epoch [11/100] | Loss_D: -16.8071 | Loss_G: -14.3345 | GP: 0.3926 | Time: 847.7s
Epoch [12/100] | Loss_D: -17.0756 | Loss_G: -15.0150 | GP: 0.3991 | Time: 847.2s
Epoch [13/100] | Loss_D: -17.1466 | Loss_G: -15.5406 | GP: 0.4029 | Time: 843.8s
Epoch [14/100] | Loss_D: -17.0876 | Loss_G: -15.7619 | GP: 0.3996 | Time: 839.0s
Epoch [15/100] | Loss_D: -17.2179 | Loss_G: -16.0913 | GP: 0.4057 | Time: 835.7s
Epoch [16/100] | Loss_D: -17.3168 | Loss_G: -16.7170 | GP: 0.4093 | Time: 832.0s
Epoch [17/100] | Loss_D: -17.3329 | Loss_G: -17.1019 | GP: 0.4142 | Time: 837.4s
Epoch [18/100] | Loss_D: -17.4564 | Loss_G: -17.5301 | GP: 0.4141 | Time: 835.3s
Epoch [19/100] | Loss_D: -17.3588 | Loss_G: -18.1972 | GP: 0.4074 | Time: 837.0s
Epoch [20/100] | Loss_D: -17.4605 | Loss_G: -18.2424 | GP: 0.4133 | Time: 828.4s
Epoch [21/100] | Loss_D: -17.4957 | Loss_G: -18.2832 | GP: 0.4160 | Time: 836.2s
Epoch [22/100] | Loss_D: -17.7109 | Loss_G: -18.4463 | GP: 0.4238 | Time: 833.6s
Epoch [23/100] | Loss_D: -17.7076 | Loss_G: -18.8297 | GP: 0.4192 | Time: 884.0s
Epoch [24/100] | Loss_D: -17.6951 | Loss_G: -19.5026 | GP: 0.4183 | Time: 892.4s
Epoch [25/100] | Loss_D: -17.8939 | Loss_G: -20.0461 | GP: 0.4247 | Time: 826.3s
Epoch [26/100] | Loss_D: -17.8058 | Loss_G: -20.3046 | GP: 0.4218 | Time: 823.0s
Epoch [27/100] | Loss_D: -17.6909 | Loss_G: -20.9083 | GP: 0.4171 | Time: 827.9s
Epoch [28/100] | Loss_D: -17.7904 | Loss_G: -21.5853 | GP: 0.4178 | Time: 819.2s
Epoch [29/100] | Loss_D: -17.9434 | Loss_G: -21.7815 | GP: 0.4289 | Time: 819.7s
Epoch [30/100] | Loss_D: -17.9873 | Loss_G: -22.1369 | GP: 0.4247 | Time: 824.9s
Epoch [31/100] | Loss_D: -18.0595 | Loss_G: -22.4518 | GP: 0.4288 | Time: 843.2s
Epoch [32/100] | Loss_D: -18.1338 | Loss_G: -22.5250 | GP: 0.4345 | Time: 826.9s
Epoch [33/100] | Loss_D: -18.0709 | Loss_G: -22.7189 | GP: 0.4237 | Time: 822.7s
Epoch [34/100] | Loss_D: -18.1668 | Loss_G: -22.8285 | GP: 0.4320 | Time: 820.3s
Epoch [35/100] | Loss_D: -18.1306 | Loss_G: -22.8843 | GP: 0.4340 | Time: 819.4s
